text,category
"Сборная России по футболу победила в отборочном матче чемпионата мира",спорт
"Теннисист Джокович выиграл открытый чемпионат Австралии",спорт
"НБА: Леброн Джеймс установил новый рекорд результативности в сезоне",спорт
"Боксёр Головкин защитил титул чемпиона мира по версии IBF",спорт
"Хоккейный клуб ЦСКА занял первое место в турнирной таблице КХЛ",спорт
"Российские лыжники завоевали три медали на чемпионате мира",спорт
"Формула-1: Ферстаппен одержал победу на Гран-при Монако",спорт
"Чемпионат Европы по лёгкой атлетике пройдёт в Берлине",спорт
"Волейбольная сборная России стала чемпионом Олимпийских игр",спорт
"ФК Зенит подписал нового нападающего за рекордную сумму",спорт
"Плавец Пети установил мировой рекорд на дистанции 100 метров",спорт
"Баскетболисты ЦСКА вышли в финал Евролиги",спорт
"Победа российских гимнасток на Кубке мира по художественной гимнастике",спорт
"Кубок России по футболу выиграл Локомотив в серии пенальти",спорт
"Российский тяжелоатлет взял золото чемпионата Европы",спорт
"Президент подписал указ о новых мерах социальной поддержки граждан",политика
"Государственная дума приняла закон о цифровой экономике в третьем чтении",политика
"Правительство утвердило федеральный бюджет на следующий год",политика
"Министр иностранных дел провёл переговоры с европейскими коллегами",политика
"Совет безопасности ООН обсудил ситуацию на Ближнем Востоке",политика
"Выборы в парламент страны состоятся в сентябре текущего года",политика
"Президент США подписал пакет санкций против ряда государств",политика
"Лидеры стран G20 договорились о совместной борьбе с изменением климата",политика
"Правящая партия получила большинство мест в парламенте страны",политика
"Премьер-министр объявил о реформе системы здравоохранения",политика
"Государственная дума рассматривает поправки к Конституции",политика
"Россия и Китай подписали договор о стратегическом партнёрстве",политика
"Новый президент страны принял присягу на торжественной церемонии",политика
"Правительство ввело новые ограничения для крупного бизнеса",политика
"Международный суд вынес решение по территориальному спору двух государств",политика
"OpenAI представила новую языковую модель с улучшенными возможностями",технологии
"Apple выпустила iPhone с революционным процессором нового поколения",технологии
"Google анонсировал квантовый компьютер, превосходящий классические системы",технологии
"Microsoft интегрировал искусственный интеллект в пакет Office 365",технологии
"Tesla представила новую версию автопилота на нейронных сетях",технологии
"Учёные разработали аккумулятор с зарядкой за пять минут",технологии
"SpaceX успешно запустила ракету Starship на орбиту Земли",технологии
"Новый процессор AMD превзошёл конкурентов по производительности",технологии
"Разработчики представили операционную систему с нативной поддержкой ИИ",технологии
"Российские программисты создали нейросеть для распознавания медицинских снимков",технологии
"Meta выпустила очки дополненной реальности с интеграцией в соцсети",технологии
"Исследователи создали чип, имитирующий работу нейронов мозга",технологии
"Samsung анонсировал складной смартфон с гибким OLED-дисплеем",технологии
"Новый алгоритм машинного обучения ускорил обработку медицинских данных",технологии
"Стартап разработал робота для автономного проведения хирургических операций",технологии
"Команда по биатлону завоевала золото на чемпионате мира в эстафете",спорт
"Российский пловец стал чемпионом мира на дистанции 200 метров баттерфляем",спорт
"Парламент страны одобрил реформу пенсионной системы после долгих дебатов",политика
"Искусственный интеллект научился решать математические олимпиадные задачи",технологии
"Спортивная федерация объявила о проведении нового международного турнира",спорт
"Центральный банк повысил ключевую ставку для сдерживания инфляции",политика
"Nvidia представила видеокарту нового поколения для игр и ИИ-вычислений",технологии
"Футбольный клуб обновил рекорд посещаемости домашнего стадиона",спорт
"Правительство анонсировало программу цифровой трансформации госуслуг",политика
"Учёные MIT создали гибкую электронику на основе органических полупроводников",технологии
"Чемпион мира по шахматам выиграл турнир претендентов с отрывом в три очка",спорт
"Депутаты проголосовали за принятие закона о защите персональных данных",политика
"Amazon представил новое поколение умных колонок с улучшенным голосовым ИИ",технологии
"Олимпийский комитет утвердил программу соревнований для следующих игр",спорт
"Лидеры оппозиции потребовали проведения досрочных парламентских выборов",политика
"Квантовый компьютер IBM решил задачу симуляции молекул за секунды",технологии
"Спортивный арбитражный суд отклонил апелляцию отстранённого атлета",спорт
"Министерство цифрового развития запустило платформу для госзакупок",политика
"Разработчики игрового движка Unreal Engine добавили поддержку нейросетей",технологии
